iter	Passed	Remaining
0	1	186
1	3	148
2	4	130
3	4	118
4	5	113
5	6	108
6	7	105
7	8	101
8	10	106
9	11	105
10	12	103
11	13	101
12	15	100
13	16	100
14	17	98
15	18	96
16	19	94
17	20	92
18	21	90
19	22	88
20	23	87
21	24	87
22	25	85
23	26	84
24	27	83
25	29	82
26	30	82
27	31	81
28	32	79
29	33	78
30	34	76
31	35	75
32	36	73
33	37	72
34	38	71
35	39	70
36	41	69
37	42	68
38	43	67
39	44	66
40	45	65
41	46	63
42	47	62
43	48	61
44	48	59
45	49	58
46	50	57
47	51	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	59	50
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	41
62	68	40
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	98	10
90	99	9
91	100	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
